3638134;Terminated;41.061;-76.53461;310.6m;41.00167;-77.13167;624.7m;['011135.00000000']
3639231;Terminated;40.89333;-76.28667;589.8m;40.85;-76.11428;590.5m;['006555.00000000']
3639231;Terminated;40.89333;-76.28667;589.8m;40.85;-76.11428;590.5m;['006625.00000000']
3643473;Terminated;40.88417;-75.26083;510.5m;40.90383;-75.68839;492.3m;['010955.00000000']
3643473;Terminated;40.88417;-75.26083;510.5m;40.90383;-75.68839;492.3m;['010995.00000000']
3643511;Terminated;40.78836;-74.25444;196.0m;40.83364;-74.43261;83.8m;['010875.00000000']
3643511;Terminated;40.78836;-74.25444;196.0m;40.83364;-74.43261;83.8m;['010915.00000000']
3643512;Terminated;40.83364;-74.43261;83.8m;40.78836;-74.25444;196.0m;['011365.00000000']
3643512;Terminated;40.83364;-74.43261;83.8m;40.78836;-74.25444;196.0m;['011405.00000000']
3644233;Terminated;40.94814;-75.16017;394.1m;40.90383;-75.68839;492.3m;['010755.00000000']
3644233;Terminated;40.94814;-75.16017;394.1m;40.90383;-75.68839;492.3m;['010835.00000000']
3760706;Terminated;41.61758;-86.83142;266.7m;41.70267;-86.58686;265.0m;['010915.00000000']
3760707;Terminated;41.63444;-85.40622;283.5m;41.68242;-85.80828;291.5m;['010955.00000000']
