3348526,Active,02/03/2012,05/03/2018,,02/03/2022
3349530,Active,02/07/2012,05/03/2018,,02/07/2022
3349546,Active,02/07/2012,05/03/2018,,02/07/2022
3365964,Active,04/03/2012,05/03/2018,,04/03/2022
3374863,Active,05/03/2012,05/03/2018,,05/03/2022
3376450,Active,05/09/2012,05/03/2018,,05/09/2022
3509600,Active,08/27/2013,05/03/2018,,08/27/2023
3583072,Active,04/14/2014,05/03/2018,,04/14/2024
3583075,Active,04/14/2014,05/03/2018,,04/14/2024
3777301,Active,02/05/2016,05/03/2018,,02/05/2026
4090949,Active,05/03/2018,05/03/2018,,01/11/2022
4090950,Active,05/03/2018,05/03/2018,,01/19/2022
4090951,Active,05/03/2018,05/03/2018,,01/23/2022
4090952,Active,05/03/2018,05/03/2018,,02/03/2022
4090953,Active,05/03/2018,05/03/2018,,02/03/2022
4090954,Active,05/03/2018,05/03/2018,,02/07/2022
4090955,Active,05/03/2018,05/03/2018,,05/03/2022
4090956,Active,05/03/2018,05/03/2018,,05/08/2022
4090957,Active,05/03/2018,05/03/2018,,05/09/2022
4090958,Active,05/03/2018,05/03/2018,,06/08/2022
4090959,Active,05/03/2018,05/03/2018,,06/08/2022
4090960,Active,05/03/2018,05/03/2018,,08/22/2023
4090961,Active,05/03/2018,05/03/2018,,08/22/2023
4090962,Active,05/03/2018,05/03/2018,,08/27/2023
4090963,Active,05/03/2018,05/03/2018,,03/07/2024
4090964,Active,05/03/2018,05/03/2018,,04/14/2024
